word,sourceTypes,targetIds,targetLabels,canonicalTargetFlights,practiceBands,practiceFlights,accessibilityBands,vocabLevels,transparency,segmentation,protection,actualFixedOrAuthoredDestinations,dynamicEligibleDestinations,blockedDestinations,sourceOnlyButRuntimeFiltered,recommendedActivityUse,reviewCaution
inbound,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,location-in-family,"in-, im-",B,4-5,B,4-5,academic,medium,in- + bound,,Flight B Digital Break It Apart || Flight B Digital Learn,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
incomplete,instructional-check-transfer.js | instructional-protection-registry.js,negative-in-family,"in-, im-, il-, ir-",B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
incredible,instructional-session-planner.js | master-word-inventory | script.js | use-it.js | word-inventory.js + instructional-word-selector.js,able-ible | cred | negative-in-family,"-able, -ible | cred | in-, im-, il-, ir-",A | B | C,6-8,C,6-8,academic,high,in- + cred + -ible,,Flight C Digital Break It Apart || Flight C Digital Build Words || Flight C Digital Find || Flight C Digital Learn || Flight C Digital Use It || Flight C Digital Word Hunt,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Build Words · Word Part · Part B || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Break It Apart · Word Part · Part B || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B || Flight C Teacher-Led Break It Apart · Optional Practice Set || Flight C Teacher-Led Break It Apart · Retrieve || Flight C Teacher-Led Break It Apart · Word Part · Part A || Flight C Teacher-Led Break It Apart · Word Part · Part B || Flight C Teacher-Led Build Words · Optional Practice Set || Flight C Teacher-Led Build Words · Retrieve || Flight C Teacher-Led Build Words · Word Part · Part A || Flight C Teacher-Led Figure It Out · Optional Practice Set || Flight C Teacher-Led Figure It Out · Retrieve || Flight C Teacher-Led Figure It Out · Word Part · Part A || Flight C Teacher-Led Figure It Out · Word Part · Part B || Flight C Teacher-Led Find · Optional Practice Set || Flight C Teacher-Led Find · Retrieve || Flight C Teacher-Led Find · Word Part · Part A || Flight C Teacher-Led Find · Word Part · Part B || Flight C Teacher-Led Learn · Optional Practice Set || Flight C Teacher-Led Learn · Retrieve || Flight C Teacher-Led Learn · Word Part · Part A || Flight C Teacher-Led Learn · Word Part · Part B || Flight C Teacher-Led Meaning · Optional Practice Set || Flight C Teacher-Led Meaning · Retrieve || Flight C Teacher-Led Meaning · Word Part · Part A || Flight C Teacher-Led Meaning · Word Part · Part B || Flight C Teacher-Led Use It · Optional Practice Set || Flight C Teacher-Led Use It · Retrieve || Flight C Teacher-Led Use It · Word Part · Part A || Flight C Teacher-Led Use It · Word Part · Part B || Flight C Teacher-Led Word Hunt · Optional Practice Set || Flight C Teacher-Led Word Hunt · Retrieve || Flight C Teacher-Led Word Hunt · Word Part · Part A || Flight C Teacher-Led Word Part · Optional Practice Set || Flight C Teacher-Led Word Part · Retrieve || Flight C Teacher-Led Word Part · Word Part · Part A || Flight C Teacher-Led Word Part · Word Part · Part B,,,Full practice; Build only when all displayed pieces are explicitly taught,
inject,instructional-check-transfer.js | instructional-protection-registry.js,location-in-family,"in-, im-",B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
injector,instructional-check-transfer.js | instructional-protection-registry.js,ject,ject,C,,,,,,,check-transfer,Check Transfer · Flight C,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
inscription,instructional-check-transfer.js | instructional-protection-registry.js,scrib,scrib/script,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
insert,instructional-session-planner.js | master-word-inventory | script.js,location-in-family,"in-, im-",B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
inspect,flight-b-assessment.js | instructional-protection-registry.js | master-word-inventory | script.js,location-in-family | spect,"in-, im- | spect",B,4-5,B,4-5,academic,high,in- + spect ; in + spect,formal-pre-post,Pretest B,,Flight B Digital Build Words || Flight B Digital Find || Flight B Digital Learn || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight B Digital Build Words || Flight B Digital Find || Flight B Digital Learn,Full practice; Build only when all displayed pieces are explicitly taught,
inspected,flight-b-assessment.js | instructional-protection-registry.js | master-word-inventory,ed | location-in-family | spect,"-ed | in-, im- | spect",A | B,4-5,B,4-5,academic,medium,in- + spect + -ed,formal-pre-post,Pretest B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
inspecting,instructional-session-planner.js | master-word-inventory,ing | location-in-family | spect,"-ing | in-, im- | spect",A | B,4-5,B,4-5,academic,medium,in- + spect + -ing,,,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
inspection,flight-b-assessment.js | instructional-protection-registry.js | master-word-inventory,ion | location-in-family | spect,"-ion, -tion, -sion | in-, im- | spect",A | B,6-8,C,6-8,academic,medium,in- + spect + -ion,formal-pre-post,Pretest B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
inspector,flight-b-assessment.js | instructional-protection-registry.js | master-word-inventory | script.js | use-it.js,er-or | location-in-family | spect,"-er, -or | in-, im- | spect",A | B,4-5,B,4-5,academic,high,inspect + -or ; in- + spect + -or ; inspect + or,formal-pre-post,Pretest B,,Flight A Digital Learn || Flight B Digital Build Words || Flight B Digital Figure It Out || Flight B Digital Find || Flight B Digital Learn || Flight B Digital Use It || Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,Flight A Digital Learn || Flight B Digital Build Words || Flight B Digital Figure It Out || Flight B Digital Find || Flight B Digital Learn || Flight B Digital Use It,Full practice; Build only when all displayed pieces are explicitly taught / Figure It Out,
inspects,instructional-session-planner.js | master-word-inventory,location-in-family | s-es | spect,"in-, im- | -s, -es | spect",A | B,4-5,B,4-5,academic,medium,in- + spect + -s,,,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
instruct,instructional-session-planner.js | master-word-inventory | script.js | word-inventory.js + instructional-word-selector.js,struct,struct,B,4-5,B,4-5,academic,medium,in + struct,,Flight B Digital Break It Apart || Flight B Digital Learn || Flight B Digital Word Hunt,Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
instruction,instructional-session-planner.js | master-word-inventory,ion | location-in-family | struct,"-ion, -tion, -sion | in-, im- | struct",A | B,4-5,B,4-5,academic,medium,in- + struct + -ion,,,Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
instructive,instructional-session-planner.js | master-word-inventory,ive | location-in-family | struct,"-ive | in-, im- | struct",B,6-8,C,6-8,academic,medium,in- + struct + -ive,,,Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
interact,instructional-session-planner.js | master-word-inventory | script.js,inter,inter-,B,4-5,B,4-5,academic,medium,,,Flight B Digital Learn,Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A,,,Learn / Find / Meaning; Figure It Out with scaffolding; Build only if segmentation is clean,
interaction,instructional-session-planner.js | master-word-inventory | word-inventory.js + instructional-word-selector.js,act | inter | ion,"act | inter- | -ion, -tion, -sion",A | B,4-5,B,4-5,academic,high,inter- + act + -ion,,Flight B Digital Break It Apart,Flight A Teacher-Led Break It Apart · Optional Practice Set || Flight A Teacher-Led Break It Apart · Retrieve || Flight A Teacher-Led Break It Apart · Word Part · Part A || Flight A Teacher-Led Break It Apart · Word Part · Part B || Flight A Teacher-Led Build Words · Optional Practice Set || Flight A Teacher-Led Build Words · Retrieve || Flight A Teacher-Led Build Words · Word Part · Part A || Flight A Teacher-Led Figure It Out · Optional Practice Set || Flight A Teacher-Led Figure It Out · Retrieve || Flight A Teacher-Led Figure It Out · Word Part · Part A || Flight A Teacher-Led Find · Optional Practice Set || Flight A Teacher-Led Find · Retrieve || Flight A Teacher-Led Find · Word Part · Part A || Flight A Teacher-Led Learn · Optional Practice Set || Flight A Teacher-Led Learn · Retrieve || Flight A Teacher-Led Learn · Word Part · Part A || Flight A Teacher-Led Meaning · Optional Practice Set || Flight A Teacher-Led Meaning · Retrieve || Flight A Teacher-Led Meaning · Word Part · Part A || Flight A Teacher-Led Use It · Optional Practice Set || Flight A Teacher-Led Use It · Retrieve || Flight A Teacher-Led Use It · Word Part · Part A || Flight A Teacher-Led Word Hunt · Optional Practice Set || Flight A Teacher-Led Word Hunt · Retrieve || Flight A Teacher-Led Word Hunt · Word Part · Part A || Flight A Teacher-Led Word Part · Optional Practice Set || Flight A Teacher-Led Word Part · Retrieve || Flight A Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Break It Apart · Optional Practice Set || Flight B Teacher-Led Break It Apart · Retrieve || Flight B Teacher-Led Break It Apart · Word Part · Part A || Flight B Teacher-Led Break It Apart · Word Part · Part B || Flight B Teacher-Led Build Words · Optional Practice Set || Flight B Teacher-Led Build Words · Retrieve || Flight B Teacher-Led Build Words · Word Part · Part A || Flight B Teacher-Led Build Words · Word Part · Part B || Flight B Teacher-Led Figure It Out · Optional Practice Set || Flight B Teacher-Led Figure It Out · Retrieve || Flight B Teacher-Led Figure It Out · Word Part · Part A || Flight B Teacher-Led Figure It Out · Word Part · Part B || Flight B Teacher-Led Find · Optional Practice Set || Flight B Teacher-Led Find · Retrieve || Flight B Teacher-Led Find · Word Part · Part A || Flight B Teacher-Led Find · Word Part · Part B || Flight B Teacher-Led Learn · Optional Practice Set || Flight B Teacher-Led Learn · Retrieve || Flight B Teacher-Led Learn · Word Part · Part A || Flight B Teacher-Led Learn · Word Part · Part B || Flight B Teacher-Led Meaning · Optional Practice Set || Flight B Teacher-Led Meaning · Retrieve || Flight B Teacher-Led Meaning · Word Part · Part A || Flight B Teacher-Led Meaning · Word Part · Part B || Flight B Teacher-Led Use It · Optional Practice Set || Flight B Teacher-Led Use It · Retrieve || Flight B Teacher-Led Use It · Word Part · Part A || Flight B Teacher-Led Use It · Word Part · Part B || Flight B Teacher-Led Word Hunt · Optional Practice Set || Flight B Teacher-Led Word Hunt · Retrieve || Flight B Teacher-Led Word Hunt · Word Part · Part A || Flight B Teacher-Led Word Part · Optional Practice Set || Flight B Teacher-Led Word Part · Retrieve || Flight B Teacher-Led Word Part · Word Part · Part A || Flight B Teacher-Led Word Part · Word Part · Part B,,,Full practice; strong three-part Break It Apart / Build candidate,
interconnect,instructional-check-transfer.js | instructional-protection-registry.js,inter,inter-,B,,,,,,,check-transfer,Check Transfer · Flight B,,Ordinary Break It Apart || Ordinary Build Words || Ordinary Change It || Ordinary Figure It Out || Ordinary Find || Ordinary Learn || Ordinary Meaning || Ordinary Use It || Ordinary Word Hunt || Ordinary Word Part,,,
